1 x 1;1;2;6;4;2
10 x 10;100;1000;1;10;12
10 x 20;200;2000;2;12;22
10 x 30;300;15;33;18;900
10 x 40;400;44;48;10;4000
10 x 50;500;5;14;59;55
10 x 60;600;66;16;96;10
10 x 70;700;77;7;17;27
10 x 80;800;88;8;18;8000
10 x 90;900;99;19;9;91
10 x 100;1000;10;1;11;100
2 x 11;22;29;11;91;99
2 x 12;24;22;26;12;18
2 x 13;26;44;46;62;12
2 x 14;28;14;84;42;29
2 x 15;30;33;5;95;40
2 x 16;32;33;18;36;42
2 x 17;34;44;13;43;64
2 x 18;36;46;44;66;63
2 x 19;38;83;13;33;36
3 x 11;33;34;13;39;66
3 x 12;36;63;66;16;46
3 x 13;39;93;99;38;18
3 x 14;42;24;28;44;56
3 x 15;45;55;50;32;51
3 x 16;48;44;84;88;28
3 x 17;51;55;15;53;60
3 x 18;54;45;48;51;52
3 x 19;57;75;77;17;98
4 x 11;44;24;19;84;12
4 x 12;48;88;84;19;25
4 x 13;52;25;88;45;76
4 x 14;56;66;18;42;82
4 x 15;60;66;30;42;90
4 x 16;64;60;24;54;98
4 x 17;68;71;80;57;69
4 x 18;72;77;98;99;102
4 x 19;76;66;85;92;36
5 x 11;55;110;60;86;95
5 x 12;60;70;56;65;88
5 x 13;65;54;56;87;93
5 x 14;70;99;71;80;55
5 x 15;75;80;15;88;91
5 x 16;80;90;77;26;105
5 x 17;85;72;76;82;95
5 x 18;90;120;80;103;115
5 x 19;95;100;101;90;120
6 x 11;66;15;67;83;150
6 x 12;72;77;82;90;101
6 x 13;78;100;86;19;22
6 x 14;84;88;130;90;66
6 x 15;90;100;88;91;53
6 x 16;96;99;100;26;67
6 x 17;102;105;25;77;190
6 x 18;108;120;180;80;99
6 x 19;114;122;68;90;84
7 x 11;77;14;17;94;83
7 x 12;84;88;93;68;22
7 x 13;91;100;92;93;16
7 x 14;98;66;93;108;15
7 x 15;105;62;81;95;124
7 x 16;112;144;69;200;107
7 x 17;119;120;130;140;99
7 x 18;126;26;86;159;112
7 x 19;133;23;300;98;139
8 x 11;88;800;99;18;183
8 x 12;96;107;92;123;116
8 x 13;104;100;93;82;160
8 x 14;112;128;96;42;19
8 x 15;120;145;65;139;140
8 x 16;128;180;162;190;200
8 x 17;136;140;88;92;35
8 x 18;144;150;180;93;62
8 x 19;152;200;300;24;180
9 x 11;99;100;92;91;68
9 x 12;108;120;80;79;200
9 x 13;117;120;158;63;19
9 x 14;126;133;98;700;12
9 x 15;135;150;121;53;88
9 x 16;144;235;52;100;44
9 x 17;153;160;89;24;132
9 x 18;162;180;94;66;127
9 x 19;171;180;153;172;195
