1 x 1;1;2;6;4;2
1 x 2;2;1;5;4;3
1 x 3;3;6;8;9;2
1 x 4;4;8;3;12;11
1 x 5;5;6;3;2;8
1 x 6;6;1;2;9;61
1 x 7;7;14;2;1;6
1 x 8;8;18;2;3;1
1 x 9;9;1;19;2;91
2 x 1;2;5;11;7;3
2 x 2;4;8;3;12;9
2 x 3;6;8;12;4;11
2 x 4;8;9;15;18;6
2 x 5;10;11;15;2;0
2 x 6;12;18;6;19;7
2 x 7;14;15;22;3;2
2 x 8;16;17;21;26;14
2 x 9;18;17;23;13;9
3 x 1;3;12;1;6;18
3 x 2;6;12;3;4;14
3 x 3;9;12;8;15;3
3 x 4;12;13;18;21;7
3 x 5;15;16;25;31;10
3 x 6;18;21;29;16;30
3 x 7;21;22;33;17;5
3 x 8;24;42;55;23;1
3 x 9;27;37;29;14;54
4 x 4;16;22;18;29;36
4 x 5;20;30;40;41;54
4 x 6;24;32;16;89;67
4 x 7;28;82;23;97;34
4 x 8;32;62;41;85;12
4 x 9;36;63;81;12;62
5 x 3;15;18;25;13;30
5 x 4;20;30;40;22;50
5 x 5;25;35;45;55;15
5 x 6;30;20;65;80;25
5 x 7;35;25;89;12;31
5 x 8;40;30;90;92;58
5 x 9;45;55;12;38;92
6 x 3;18;16;29;87;37
6 x 4;24;38;64;91;12
6 x 5;30;40;13;65;48
6 x 6;36;26;85;19;66
6 x 7;42;24;67;74;83
6 x 8;48;56;64;52;80
6 x 9;54;52;68;92;12
7 x 3;21;28;35;12;77
7 x 4;28;35;67;83;92
7 x 5;35;53;15;18;29
7 x 6;42;49;24;16;72
7 x 7;49;59;19;34;21
7 x 8;56;65;19;32;18
7 x 9;63;36;19;13;33
8 x 3;24;42;22;19;67
8 x 4;32;23;33;63;97
8 x 5;40;20;24;68;92
8 x 6;48;58;66;36;28
8 x 7;56;46;82;16;23
8 x 8;64;26;46;82;78
8 x 9;72;27;85;63;24
9 x 3;27;72;88;14;25
9 x 4;36;63;96;24;41
9 x 5;45;54;91;22;17
9 x 6;54;98;72;39;27
9 x 7;63;23;27;67;91
9 x 8;72;27;80;18;12
9 x 9;81;91;68;87;92
